date,state,positiveIncrease,negativeIncrease,hospitalizedCurrently,hospitalizedIncrease,deathIncrease
10/25/2020,AK,529,6320,58,0,0
10/25/2020,AL,1079,5863,922,0,0
10/25/2020,AR,797,7315,618,11,15
10/25/2020,AS,0,0,,0,0
10/25/2020,AZ,1391,11512,828,43,5
10/25/2020,CA,5219,173487,2969,0,34
10/25/2020,CO,1828,11426,599,41,0
10/25/2020,CT,0,0,233,0,0
10/25/2020,DC,61,4618,95,0,0
10/25/2020,DE,114,1951,103,0,1
10/25/2020,FL,2385,12277,2219,82,12
10/25/2020,GA,1318,17604,1668,22,1
10/25/2020,GU,41,213,77,0,0
10/25/2020,HI,89,0,64,8,3
10/25/2020,IA,1143,2799,541,0,3
10/25/2020,ID,1021,1688,259,22,10
10/25/2020,IL,4062,68035,2605,0,24
10/25/2020,IN,2153,8984,1666,140,12
10/25/2020,KS,0,0,403,0,0
10/25/2020,KY,1462,0,840,0,3
10/25/2020,LA,972,25297,596,0,17
10/25/2020,MA,1077,15923,538,16,25
10/25/2020,MD,792,11210,446,52,5
10/25/2020,ME,64,0,8,2,0
10/25/2020,MI,0,0,1182,0,0
10/25/2020,MN,1680,24938,584,67,21
10/25/2020,MO,2043,6782,1404,0,4
10/25/2020,MP,0,0,,0,0
10/25/2020,MS,0,0,683,0,0
10/25/2020,MT,738,837,357,49,3
10/25/2020,NC,1807,33569,1148,0,13
10/25/2020,ND,845,897,272,12,0
10/25/2020,NE,705,2446,436,16,4
10/25/2020,NH,90,2414,23,1,0
10/25/2020,NJ,1129,44859,868,25,4
10/25/2020,NM,872,8739,264,70,5
10/25/2020,NV,891,3271,493,0,5
10/25/2020,NY,1632,119198,1015,0,12
10/25/2020,OH,2309,47379,1338,89,0
10/25/2020,OK,1051,0,924,26,4
10/25/2020,OR,362,3746,197,0,0
10/25/2020,PA,1666,14920,1104,0,12
10/25/2020,PR,1223,0,370,0,7
10/25/2020,RI,0,0,140,0,0
10/25/2020,SC,1337,25993,725,12,9
10/25/2020,SD,1062,1188,366,58,9
10/25/2020,TN,3500,38096,1094,15,31
10/25/2020,TX,4304,47743,5206,0,48
10/25/2020,UT,1765,6937,313,52,4
10/25/2020,VA,999,20271,979,65,1
10/25/2020,VI,0,0,,0,0
10/25/2020,VT,30,907,3,0,0
10/25/2020,WA,1568,39888,308,49,0
10/25/2020,WI,3778,10396,1293,95,10
10/25/2020,WV,194,7323,214,0,1
10/25/2020,WY,236,0,95,2,0
10/24/2020,AK,374,0,58,0,0
10/24/2020,AL,2360,5064,920,0,7
10/24/2020,AR,1183,11643,606,29,15
10/24/2020,AS,0,0,,0,0
10/24/2020,AZ,890,11213,819,76,4
10/24/2020,CA,5945,119941,3007,0,49
10/24/2020,CO,1350,9351,550,79,6
10/24/2020,CT,0,0,233,0,0
10/24/2020,DC,97,5703,93,0,0
10/24/2020,DE,160,2004,103,0,2
10/24/2020,FL,4471,67838,2162,174,76
10/24/2020,GA,1846,16641,1684,97,42
10/24/2020,GU,34,300,77,0,2
10/24/2020,HI,140,0,71,12,3
10/24/2020,IA,1640,4830,545,0,11
10/24/2020,ID,1073,2078,259,24,9
10/24/2020,IL,6161,77356,2616,0,63
10/24/2020,IN,2741,9994,1685,129,26
10/24/2020,KS,0,0,403,0,0
10/24/2020,KY,1732,20995,840,49,8
10/24/2020,LA,0,0,620,0,0
10/24/2020,MA,1203,18040,551,20,9
10/24/2020,MD,796,10837,455,55,13
10/24/2020,ME,42,0,8,0,0
10/24/2020,MI,3490,50615,1182,0,38
10/24/2020,MN,2259,7611,584,106,14
10/24/2020,MO,2918,7781,1443,0,113
10/24/2020,MP,0,0,,0,0
10/24/2020,MS,1212,0,683,0,17
10/24/2020,MT,639,2393,348,10,12
10/24/2020,NC,2584,43178,1182,0,30
10/24/2020,ND,935,1031,278,17,0
10/24/2020,NE,1225,3742,426,34,4
10/24/2020,NH,244,5640,19,0,3
10/24/2020,NJ,1909,0,886,40,8
10/24/2020,NM,791,9543,229,41,7
10/24/2020,NV,1146,1914,493,0,5
10/24/2020,NY,2061,154879,1045,0,13
10/24/2020,OH,2858,45518,1355,140,22
10/24/2020,OK,1829,19328,924,95,11
10/24/2020,OR,391,5550,197,0,4
10/24/2020,PA,2043,14189,1087,0,29
10/24/2020,PR,296,0,395,0,3
10/24/2020,RI,0,0,140,0,0
10/24/2020,SC,792,10791,743,51,16
10/24/2020,SD,939,1739,356,42,10
10/24/2020,TN,2574,24071,1382,44,24
10/24/2020,TX,6499,92110,4995,0,81
10/24/2020,UT,1608,8461,319,58,1
10/24/2020,VA,1088,16117,979,16,39
10/24/2020,VI,0,0,,0,0
10/24/2020,VT,27,1700,4,0,0
10/24/2020,WA,820,21836,314,48,7
10/24/2020,WI,4673,13558,1237,199,29
10/24/2020,WV,320,5013,209,0,0
10/24/2020,WY,260,0,83,0,0
10/23/2020,AK,284,3753,59,0,0
10/23/2020,AL,3852,8105,888,147,16
10/23/2020,AR,1337,10920,610,152,10
10/23/2020,AS,0,0,,0,0
10/23/2020,AZ,976,11984,815,29,6
10/23/2020,CA,6141,118382,3011,0,73
10/23/2020,CO,1373,8584,547,98,4
10/23/2020,CT,679,22802,233,0,8
10/23/2020,DC,72,6246,91,0,0
10/23/2020,DE,159,1894,106,0,8
10/23/2020,FL,3689,40124,2114,190,74
10/23/2020,GA,2224,37865,1741,120,37
10/23/2020,GU,85,534,77,0,0
10/23/2020,HI,102,0,75,12,3
10/23/2020,IA,1249,3430,536,0,19
10/23/2020,ID,950,2110,193,36,7
10/23/2020,IL,5000,78382,2498,0,41
10/23/2020,IN,2467,8764,1548,194,27
10/23/2020,KS,1774,8979,403,78,23
10/23/2020,KY,1449,17703,819,55,16
10/23/2020,LA,699,19379,620,0,21
10/23/2020,MA,1070,14793,570,24,20
10/23/2020,MD,712,11227,458,47,8
10/23/2020,ME,31,6870,8,0,0
10/23/2020,MI,2046,54977,1182,0,20
10/23/2020,MN,1711,9637,584,112,13
10/23/2020,MO,1811,5033,1349,0,31
10/23/2020,MP,0,0,,0,0
10/23/2020,MS,795,0,701,0,7
10/23/2020,MT,863,7291,351,79,4
10/23/2020,NC,2716,32924,1181,0,32
10/23/2020,ND,887,1123,282,37,7
10/23/2020,NE,977,3792,389,42,11
10/23/2020,NH,0,0,18,0,0
10/23/2020,NJ,1045,39328,874,12705,10
10/23/2020,NM,662,10401,213,49,3
10/23/2020,NV,813,5739,493,0,2
10/23/2020,NY,1637,139871,1023,0,11
10/23/2020,OH,2518,43750,1347,184,23
10/23/2020,OK,1373,19091,956,95,13
10/23/2020,OR,538,8662,197,29,3
10/23/2020,PA,2219,15789,1068,0,33
10/23/2020,PR,1947,0,381,0,8
10/23/2020,RI,524,4024,140,10,4
10/23/2020,SC,1064,17086,718,59,22
10/23/2020,SD,1185,1371,349,59,9
10/23/2020,TN,3606,38555,1426,80,65
10/23/2020,TX,6472,72397,5065,0,89
10/23/2020,UT,1960,6494,321,59,4
10/23/2020,VA,1180,19419,1012,-12,15
10/23/2020,VI,3,178,,0,0
10/23/2020,VT,29,1237,3,0,0
10/23/2020,WA,651,19171,321,34,3
10/23/2020,WI,4643,13426,1245,183,49
10/23/2020,WV,335,4871,193,0,4
10/23/2020,WY,426,1864,83,19,0
10/22/2020,AK,233,1336,41,0,0
10/22/2020,AL,2536,5246,864,118,38
10/22/2020,AR,1202,11889,603,0,21
10/22/2020,AS,0,0,,0,0
10/22/2020,AZ,994,10205,848,118,5
10/22/2020,CA,2940,62691,3051,0,162
10/22/2020,CO,1267,7201,532,48,6
10/22/2020,CT,502,21635,232,214,2
10/22/2020,DC,39,2953,95,0,0
10/22/2020,DE,153,1426,110,0,0
10/22/2020,FL,7702,46290,2074,425,162
10/22/2020,GA,1785,27434,1699,153,25
10/22/2020,GU,88,956,78,0,0
10/22/2020,HI,77,0,75,8,14
10/22/2020,IA,1435,4293,530,0,17
10/22/2020,ID,987,1648,193,50,11
10/22/2020,IL,4942,76035,2463,0,42
10/22/2020,IN,2850,10406,1515,141,42
10/22/2020,KS,0,0,329,0,0
10/22/2020,KY,1303,28111,800,40,17
10/22/2020,LA,772,18984,598,0,9
10/22/2020,MA,1049,16980,521,26,30
10/22/2020,MD,743,10605,458,54,12
10/22/2020,ME,37,6535,7,3,0
10/22/2020,MI,2204,45828,1182,0,46
10/22/2020,MN,1561,12822,584,79,20
10/22/2020,MO,1854,22744,1352,0,16
10/22/2020,MP,0,0,,0,0
10/22/2020,MS,958,0,695,0,8
10/22/2020,MT,928,3924,353,23,3
10/22/2020,NC,2400,33232,1205,0,50
10/22/2020,ND,887,1209,276,27,10
10/22/2020,NE,899,3718,400,35,11
10/22/2020,NH,77,4804,18,2,1
10/22/2020,NJ,1162,32327,852,76,18
10/22/2020,NM,819,6787,202,49,8
10/22/2020,NV,789,3693,520,0,4
10/22/2020,NY,1628,133713,986,0,15
10/22/2020,OH,2425,41187,1293,159,12
10/22/2020,OK,1628,11235,910,93,11
10/22/2020,OR,367,5699,194,16,11
10/22/2020,PA,2063,17543,1042,0,30
10/22/2020,PR,207,0,395,0,9
10/22/2020,RI,471,3151,140,25,4
10/22/2020,SC,1128,14674,766,40,47
10/22/2020,SD,973,1223,355,38,14
10/22/2020,TN,2046,18033,1424,68,41
10/22/2020,TX,6291,51552,4931,0,85
10/22/2020,UT,1543,8748,318,73,6
10/22/2020,VA,1332,18900,1109,194,9
10/22/2020,VI,6,143,,0,0
10/22/2020,VT,16,967,3,0,0
10/22/2020,WA,724,22941,318,25,4
10/22/2020,WI,3632,12082,1202,151,23
10/22/2020,WV,323,8231,188,0,5
10/22/2020,WY,271,0,81,0,7
10/21/2020,AK,212,403,41,0,1
10/21/2020,AL,0,7948,863,249,0
10/21/2020,AR,1155,10119,626,98,23
10/21/2020,AS,0,0,,0,0
10/21/2020,AZ,975,9117,832,101,17
10/21/2020,CA,3707,100362,3077,0,35
10/21/2020,CO,1208,5287,516,84,9
10/21/2020,CT,416,15448,213,0,8
10/21/2020,DC,53,2583,96,0,0
10/21/2020,DE,50,704,99,0,2
10/21/2020,FL,0,0,2125,0,0
10/21/2020,GA,1312,9167,1736,135,30
10/21/2020,GU,82,655,71,0,2
10/21/2020,HI,88,0,81,13,2
10/21/2020,IA,1179,3645,534,0,29
10/21/2020,ID,873,1697,187,46,4
10/21/2020,IL,4342,62449,2338,0,68
10/21/2020,IN,1732,7027,1484,180,15
10/21/2020,KS,1488,5627,329,85,80
10/21/2020,KY,1452,6858,794,56,21
10/21/2020,LA,1363,13584,608,0,18
10/21/2020,MA,702,12076,519,35,22
10/21/2020,MD,492,6610,463,33,8
10/21/2020,ME,38,6678,7,1,0
10/21/2020,MI,1878,33162,1050,0,35
10/21/2020,MN,1060,7189,588,105,35
10/21/2020,MO,1244,12006,1415,0,26
10/21/2020,MP,0,0,,0,0
10/21/2020,MS,801,0,711,0,21
10/21/2020,MT,619,2354,345,13,23
10/21/2020,NC,1842,18408,1219,0,40
10/21/2020,ND,499,525,219,23,13
10/21/2020,NE,592,2661,380,26,11
10/21/2020,NH,89,2112,14,0,1
10/21/2020,NJ,1030,27793,844,79,18
10/21/2020,NM,594,8619,205,53,7
10/21/2020,NV,565,2736,535,0,5
10/21/2020,NY,2026,122763,950,0,7
10/21/2020,OH,2366,29733,1252,135,66
10/21/2020,OK,1307,9908,870,113,19
10/21/2020,OR,307,4311,183,25,2
10/21/2020,PA,1425,11897,966,0,29
10/21/2020,PR,187,0,378,0,5
10/21/2020,RI,474,3151,130,19,5
10/21/2020,SC,864,12763,743,34,12
10/21/2020,SD,587,937,332,46,3
10/21/2020,TN,2292,17227,1424,53,18
10/21/2020,TX,5252,25296,4782,0,114
10/21/2020,UT,1363,6208,338,54,6
10/21/2020,VA,1018,19011,1010,129,30
10/21/2020,VI,2,251,,0,0
10/21/2020,VT,15,966,4,0,0
10/21/2020,WA,489,7963,301,47,24
10/21/2020,WI,4363,5681,1190,167,50
10/21/2020,WV,215,4573,188,0,5
10/21/2020,WY,322,3068,66,2,0
10/20/2020,AK,212,10090,38,0,0
10/20/2020,AL,1043,4731,846,0,16
10/20/2020,AR,844,7110,627,67,14
10/20/2020,AS,0,0,,0,0
10/20/2020,AZ,1040,6571,777,71,7
10/20/2020,CA,3286,143376,3104,0,22
10/20/2020,CO,1072,8240,465,21,9
10/20/2020,CT,434,14231,217,0,5
10/20/2020,DC,50,4717,85,0,1
10/20/2020,DE,129,1579,107,0,2
10/20/2020,FL,3662,25002,2094,231,86
10/20/2020,GA,1128,12429,1713,153,17
10/20/2020,GU,130,827,70,0,1
10/20/2020,HI,37,0,96,7,0
10/20/2020,IA,494,1651,501,0,17
10/20/2020,ID,698,1597,187,25,3
10/20/2020,IL,3714,55363,2261,0,41
10/20/2020,IN,1498,6130,1425,157,48
10/20/2020,KS,0,0,285,0,0
10/20/2020,KY,1297,7112,776,49,16
10/20/2020,LA,699,18294,586,0,6
10/20/2020,MA,976,16417,517,12,5
10/20/2020,MD,590,7593,464,41,9
10/20/2020,ME,27,4590,9,0,0
10/20/2020,MI,1871,48296,1050,0,20
10/20/2020,MN,1092,4604,567,126,7
10/20/2020,MO,1524,0,1439,0,25
10/20/2020,MP,2,267,,0,0
10/20/2020,MS,730,0,664,0,31
10/20/2020,MT,703,1952,360,35,11
10/20/2020,NC,1578,21851,1203,0,53
10/20/2020,ND,1029,806,209,34,5
10/20/2020,NE,749,2707,380,22,6
10/20/2020,NH,82,1203,16,2,0
10/20/2020,NJ,988,16607,781,89,13
10/20/2020,NM,514,5863,183,37,1
10/20/2020,NV,656,2454,506,0,15
10/20/2020,NY,1201,89339,942,0,13
10/20/2020,OH,2015,35832,1221,216,8
10/20/2020,OK,1475,29930,821,149,18
10/20/2020,OR,342,6466,183,17,5
10/20/2020,PA,1557,11673,918,0,33
10/20/2020,PR,693,0,378,0,1
10/20/2020,RI,302,1427,135,22,5
10/20/2020,SC,884,8838,697,69,35
10/20/2020,SD,621,1655,329,47,7
10/20/2020,TN,1508,11836,1424,63,30
10/20/2020,TX,7884,52399,4588,0,65
10/20/2020,UT,1081,4684,311,65,5
10/20/2020,VA,926,13055,937,39,28
10/20/2020,VI,0,0,,0,0
10/20/2020,VT,10,106,0,0,0
10/20/2020,WA,460,13091,289,59,19
10/20/2020,WI,4686,9070,1192,218,35
10/20/2020,WV,226,3593,191,0,9
10/20/2020,WY,215,0,66,7,4
10/19/2020,AK,204,3308,65,0,0
10/19/2020,AL,859,5459,859,226,1
10/19/2020,AR,531,7536,604,46,10
10/19/2020,AS,0,0,,0,0
10/19/2020,AZ,748,8043,721,8,3
10/19/2020,CA,3474,146872,3002,0,27
10/19/2020,CO,933,9258,445,10,0
10/19/2020,CT,1191,70773,195,0,12
10/19/2020,DC,25,2210,84,0,0
10/19/2020,DE,103,1619,107,0,1
10/19/2020,FL,1707,15184,2057,72,54
10/19/2020,GA,752,15069,1664,12,19
10/19/2020,GU,81,500,68,0,0
10/19/2020,HI,82,0,96,4,1
10/19/2020,IA,557,2480,480,0,10
10/19/2020,ID,510,2457,221,13,-1
10/19/2020,IL,3113,45571,2096,0,22
10/19/2020,IN,1584,7701,1373,111,23
10/19/2020,KS,2113,7092,285,51,13
10/19/2020,KY,640,22939,764,24,9
10/19/2020,LA,201,4665,553,0,16
10/19/2020,MA,828,16827,500,8,16
10/19/2020,MD,497,9563,434,40,4
10/19/2020,ME,23,15739,8,1,0
10/19/2020,MI,5004,59863,1050,0,46
10/19/2020,MN,1627,11624,532,50,5
10/19/2020,MO,1405,5159,1439,0,8
10/19/2020,MP,0,0,,0,0
10/19/2020,MS,586,0,653,143,0
10/19/2020,MT,569,10663,339,10,0
10/19/2020,NC,1144,29962,1142,0,5
10/19/2020,ND,659,1523,205,14,9
10/19/2020,NE,734,3352,343,8,0
10/19/2020,NH,52,1390,16,0,1
10/19/2020,NJ,1192,77642,758,113,3
10/19/2020,NM,445,7719,171,29,5
10/19/2020,NV,582,3112,485,0,2
10/19/2020,NY,998,81011,934,0,15
10/19/2020,OH,1837,39081,1154,111,8
10/19/2020,OK,774,0,792,17,2
10/19/2020,OR,262,3143,168,61,8
10/19/2020,PA,1103,11315,870,0,8
10/19/2020,PR,657,0,327,0,2
10/19/2020,RI,85,1017,124,0,1
10/19/2020,SC,619,8318,697,20,11
10/19/2020,SD,567,836,304,27,0
10/19/2020,TN,3317,39256,1338,41,13
10/19/2020,TX,1894,55230,4319,0,8
10/19/2020,UT,1168,5553,304,32,3
10/19/2020,VA,690,10732,972,62,24
10/19/2020,VI,0,0,,0,0
10/19/2020,VT,9,1128,0,0,0
10/19/2020,WA,0,15695,292,24,0
10/19/2020,WI,7915,113244,1172,292,29
10/19/2020,WV,212,6906,177,0,0
10/19/2020,WY,286,0,68,4,0
10/18/2020,AK,224,1987,73,0,0
10/18/2020,AL,964,4270,823,0,0
10/18/2020,AR,644,7773,565,37,20
10/18/2020,AS,0,0,,0,0
10/18/2020,AZ,742,9622,714,22,3
10/18/2020,CA,2862,132489,3020,0,44
10/18/2020,CO,1139,9154,428,48,0
10/18/2020,CT,0,0,184,0,0
10/18/2020,DC,36,3801,78,0,0
10/18/2020,DE,151,2676,106,0,1
10/18/2020,FL,2539,15753,2005,79,50
10/18/2020,GA,1174,16616,1654,26,31
10/18/2020,GU,58,230,63,0,2
10/18/2020,HI,96,0,96,13,1
10/18/2020,IA,857,3795,475,0,1
10/18/2020,ID,878,1126,221,19,6
10/18/2020,IL,4245,75051,2012,0,22
10/18/2020,IN,1605,7905,1387,111,19
10/18/2020,KS,0,0,456,0,0
10/18/2020,KY,810,0,691,0,5
10/18/2020,LA,1143,25803,550,0,23
10/18/2020,MA,730,14844,483,11,14
10/18/2020,MD,530,11228,433,83,1
10/18/2020,ME,26,0,11,1,0
10/18/2020,MI,0,0,1000,0,0
10/18/2020,MN,1722,17973,484,65,17
10/18/2020,MO,1768,6105,918,0,2
10/18/2020,MP,0,0,,0,0
10/18/2020,MS,0,0,609,0,0
10/18/2020,MT,588,2418,331,9,1
10/18/2020,NC,2303,32383,1129,0,5
10/18/2020,ND,717,1166,210,11,0
10/18/2020,NE,620,3160,320,3,1
10/18/2020,NH,69,1680,17,0,1
10/18/2020,NJ,1275,1800,732,0,7
10/18/2020,NM,573,10303,173,50,1
10/18/2020,NV,609,3665,503,0,3
10/18/2020,NY,1390,127373,913,0,7
10/18/2020,OH,1562,44688,1097,52,0
10/18/2020,OK,796,0,792,28,3
10/18/2020,OR,216,3245,190,0,0
10/18/2020,PA,1269,12801,841,0,26
10/18/2020,PR,643,0,292,0,5
10/18/2020,RI,284,3166,124,11,0
10/18/2020,SC,776,15436,716,22,13
10/18/2020,SD,658,1185,300,42,8
10/18/2020,TN,2605,33081,1105,22,6
10/18/2020,TX,3216,49467,4226,0,30
10/18/2020,UT,1097,6390,307,46,3
10/18/2020,VA,900,19628,972,17,11
10/18/2020,VI,6,342,,0,0
10/18/2020,VT,11,1116,2,0,0
10/18/2020,WA,1307,19529,292,23,0
10/18/2020,WI,0,0,1090,0,0
10/18/2020,WV,280,8231,173,0,0
10/18/2020,WY,209,0,51,2,0
10/17/2020,AK,216,7620,68,0,1
10/17/2020,AL,1288,6641,823,0,2
10/17/2020,AR,883,9034,573,35,19
10/17/2020,AS,0,0,,0,0
10/17/2020,AZ,921,10458,757,127,18
10/17/2020,CA,2979,131776,2995,0,69
10/17/2020,CO,1312,8065,434,42,13
10/17/2020,CT,0,0,184,0,0
10/17/2020,DC,79,7102,84,0,0
10/17/2020,DE,218,3109,101,0,2
10/17/2020,FL,4044,26371,2031,117,88
10/17/2020,GA,1534,24864,1622,133,51
10/17/2020,GU,79,479,67,0,1
10/17/2020,HI,85,0,100,10,1
10/17/2020,IA,1157,3952,461,0,4
10/17/2020,ID,1094,2070,221,37,6
10/17/2020,IL,3629,73860,2073,0,27
10/17/2020,IN,2482,10496,1358,131,31
10/17/2020,KS,0,0,456,0,0
10/17/2020,KY,1291,19810,691,47,12
10/17/2020,LA,0,0,557,0,0
10/17/2020,MA,584,11845,500,19,21
10/17/2020,MD,798,11649,422,64,4
10/17/2020,ME,48,0,11,1,1
10/17/2020,MI,0,45347,1000,0,0
10/17/2020,MN,1694,12974,484,83,5
10/17/2020,MO,2357,15043,1431,0,121
10/17/2020,MP,6,0,,0,0
10/17/2020,MS,751,0,609,0,11
10/17/2020,MT,638,2028,324,15,5
10/17/2020,NC,2102,40739,1140,0,19
10/17/2020,ND,744,1065,217,21,0
10/17/2020,NE,1286,4795,322,16,12
10/17/2020,NH,111,5689,18,0,1
10/17/2020,NJ,934,33463,759,0,2
10/17/2020,NM,812,7647,168,42,6
10/17/2020,NV,967,6596,503,0,0
10/17/2020,NY,1784,158188,929,0,9
10/17/2020,OH,2234,48678,1079,99,13
10/17/2020,OK,1195,14692,792,169,14
10/17/2020,OR,381,6073,190,0,3
10/17/2020,PA,1857,16806,847,0,9
10/17/2020,PR,238,0,317,0,3
10/17/2020,RI,287,4310,125,24,6
10/17/2020,SC,961,17773,759,63,22
10/17/2020,SD,806,1408,295,33,8
10/17/2020,TN,2646,27974,1299,66,32
10/17/2020,TX,4885,58305,4275,0,81
10/17/2020,UT,1340,7802,313,51,3
10/17/2020,VA,1114,18539,993,76,14
10/17/2020,VI,0,0,,0,0
10/17/2020,VT,11,717,3,0,0
10/17/2020,WA,709,24353,280,15,7
10/17/2020,WI,0,0,1068,0,0
10/17/2020,WV,221,4561,180,0,3
10/17/2020,WY,151,0,51,-1,0
10/16/2020,AK,228,2975,59,0,1
10/16/2020,AL,1212,6043,859,220,30
10/16/2020,AR,1015,11082,583,44,20
10/16/2020,AS,0,0,,0,0
10/16/2020,AZ,738,7640,747,29,17
10/16/2020,CA,3075,101069,3035,0,73
10/16/2020,CO,1141,9699,420,59,4
10/16/2020,CT,802,32262,184,0,2
10/16/2020,DC,89,5084,86,0,3
10/16/2020,DE,164,2345,104,0,1
10/16/2020,FL,3449,26715,2083,173,98
10/16/2020,GA,1609,22880,1668,136,64
10/16/2020,GU,111,546,67,0,1
10/16/2020,HI,90,0,103,17,1
10/16/2020,IA,1229,-14060,468,0,17
10/16/2020,ID,718,2143,219,15,1
10/16/2020,IL,5103,83205,2016,0,52
10/16/2020,IN,2283,9264,1311,120,23
10/16/2020,KS,1700,7662,456,61,21
10/16/2020,KY,1311,19739,667,39,4
10/16/2020,LA,774,18871,557,0,20
10/16/2020,MA,767,14260,513,25,30
10/16/2020,MD,781,10841,416,33,4
10/16/2020,ME,29,7545,11,2,1
10/16/2020,MI,2206,51215,1000,0,15
10/16/2020,MN,2290,21148,484,66,13
10/16/2020,MO,2017,0,1443,0,17
10/16/2020,MP,3,0,,0,0
10/16/2020,MS,1116,24889,596,0,8
10/16/2020,MT,662,4968,319,27,5
10/16/2020,NC,2684,36284,1148,0,36
10/16/2020,ND,864,1238,217,29,12
10/16/2020,NE,961,4528,323,38,5
10/16/2020,NH,88,2151,16,0,2
10/16/2020,NJ,810,30232,728,68,5
10/16/2020,NM,668,7695,150,30,1
10/16/2020,NV,716,1611,469,0,9
10/16/2020,NY,1707,134332,918,0,10
10/16/2020,OH,2148,40360,1084,86,16
10/16/2020,OK,1472,17908,793,0,11
10/16/2020,OR,410,5503,190,18,6
10/16/2020,PA,1566,13847,830,0,25
10/16/2020,PR,327,0,341,0,15
10/16/2020,RI,253,3148,137,16,3
10/16/2020,SC,1147,18562,769,56,8
10/16/2020,SD,793,1958,299,44,3
10/16/2020,TN,666,5184,1281,73,7
10/16/2020,TX,5870,93286,4248,0,91
10/16/2020,UT,1496,7811,304,48,8
10/16/2020,VA,1183,19088,1002,73,20
10/16/2020,VI,2,137,,0,1
10/16/2020,VT,12,867,1,0,0
10/16/2020,WA,676,22007,274,73,11
10/16/2020,WI,4105,10725,1101,135,23
10/16/2020,WV,498,10667,188,0,3
10/16/2020,WY,290,740,51,5,0
10/15/2020,AK,165,2119,60,0,1
10/15/2020,AL,1185,6939,844,0,50
10/15/2020,AR,1278,11592,587,51,11
10/15/2020,AS,0,0,,0,0
10/15/2020,AZ,1113,10731,726,96,17
10/15/2020,CA,3329,88996,3078,0,118
10/15/2020,CO,692,6600,405,65,16
10/15/2020,CT,167,15678,191,198,3
10/15/2020,DC,34,2318,88,0,0
10/15/2020,DE,95,1715,111,0,1
10/15/2020,FL,3356,24918,2119,212,144
10/15/2020,GA,1640,23833,1682,163,22
10/15/2020,GU,86,485,72,0,1
10/15/2020,HI,99,0,105,10,10
10/15/2020,IA,1333,5020,482,0,9
10/15/2020,ID,645,1603,219,36,4
10/15/2020,IL,4015,63071,1932,0,53
10/15/2020,IN,1943,8399,1355,125,28
10/15/2020,KS,0,0,488,0,0
10/15/2020,KY,1182,30356,738,27,20
10/15/2020,LA,743,25541,566,0,12
10/15/2020,MA,587,14169,503,13,25
10/15/2020,MD,630,9551,412,40,6
10/15/2020,ME,20,5645,11,1,1
10/15/2020,MI,2458,40119,1000,0,34
10/15/2020,MN,1163,8943,445,67,19
10/15/2020,MO,1875,5210,1443,0,22
10/15/2020,MP,0,0,,0,0
10/15/2020,MS,1322,0,598,0,12
10/15/2020,MT,723,4530,301,39,5
10/15/2020,NC,2532,30996,1140,0,18
10/15/2020,ND,706,822,207,33,12
10/15/2020,NE,924,3442,311,38,3
10/15/2020,NH,77,1880,18,1,5
10/15/2020,NJ,971,32519,733,115,6
10/15/2020,NM,577,7132,145,31,3
10/15/2020,NV,655,-2729,486,0,7
10/15/2020,NY,1460,131752,897,0,13
10/15/2020,OH,2178,32149,1041,108,5
10/15/2020,OK,1221,11878,781,72,11
10/15/2020,OR,365,7359,199,20,3
10/15/2020,PA,1598,14468,799,0,21
10/15/2020,PR,569,0,354,0,1
10/15/2020,RI,274,3439,129,15,2
10/15/2020,SC,1297,18746,762,63,14
10/15/2020,SD,797,1121,304,37,13
10/15/2020,TN,2289,22553,1331,45,36
10/15/2020,TX,4726,39488,4263,0,95
10/15/2020,UT,1498,5817,277,51,2
10/15/2020,VA,1331,21355,1009,86,7
10/15/2020,VI,-1,179,,0,0
10/15/2020,VT,14,456,6,0,0
10/15/2020,WA,734,21867,281,9,10
10/15/2020,WI,4040,11455,1043,138,18
10/15/2020,WV,264,6685,180,0,2
10/15/2020,WY,198,5165,51,2,0
10/14/2020,AK,144,2244,56,0,4
10/14/2020,AL,784,4352,834,195,41
10/14/2020,AR,1079,9793,582,79,23
10/14/2020,AS,0,0,,0,0
10/14/2020,AZ,901,7263,711,54,5
10/14/2020,CA,2666,89104,3126,0,58
10/14/2020,CO,1048,8218,385,88,11
10/14/2020,CT,164,8212,188,0,4
10/14/2020,DC,64,5117,86,0,1
10/14/2020,DE,71,1000,116,0,1
10/14/2020,FL,2883,18940,2155,258,66
10/14/2020,GA,1297,22463,1705,156,16
10/14/2020,GU,75,451,62,0,0
10/14/2020,HI,61,0,109,12,4
10/14/2020,IA,1046,3338,473,0,12
10/14/2020,ID,584,2276,187,28,2
10/14/2020,IL,2862,49807,1974,0,48
10/14/2020,IN,1165,5972,1357,113,14
10/14/2020,KS,1293,6453,488,70,67
10/14/2020,KY,1322,9903,711,220,7
10/14/2020,LA,880,5996,582,0,16
10/14/2020,MA,580,12539,499,34,17
10/14/2020,MD,575,8770,417,65,10
10/14/2020,ME,36,6088,8,0,0
10/14/2020,MI,1593,28260,899,0,13
10/14/2020,MN,1369,11181,487,85,-24
10/14/2020,MO,4449,-99955,1413,0,-2
10/14/2020,MP,0,335,,0,0
10/14/2020,MS,876,0,633,0,25
10/14/2020,MT,599,4329,292,9,8
10/14/2020,NC,1926,20726,1152,0,40
10/14/2020,ND,702,786,206,33,17
10/14/2020,NE,704,3214,315,12,5
10/14/2020,NH,70,3699,19,2,2
